w_q1	w_q2	w_q3	w_q4	roc_auc	ap	lower_half_auc	q1_auc	knownness_spearman	objective
0.8	0.65	0.35	0.0	0.7301496310668195	0.4984377512224872	0.7301496310668195	0.681081081081081	-0.1468690802316174	1.026598727414216
0.35	0.0	0.0	0.0	0.7292677190816356	0.47312158300455776	0.7292677190816356	0.6805405405405405	-0.16074673783760948	1.0265254689601342
0.5	0.25	0.0	0.0	0.7289002557544757	0.49165778800489535	0.7289002557544757	0.6852702702702702	-0.15416308188271458	1.0262489067842522
0.5	0.15	0.1	0.0	0.7286797777581798	0.48474663556070524	0.7286797777581798	0.6852702702702702	-0.15164954138375283	1.0257722260489655
0.65	0.35	0.25	0.0	0.7273863068465768	0.49422840563282333	0.7273863068465768	0.6873648648648649	-0.14429148873589798	1.0238809323868225
0.8	0.65	0.25	0.0	0.7277390716406502	0.49493670222349984	0.7277390716406502	0.681081081081081	-0.14425977065337034	1.0233767833652447
0.65	0.35	0.2	0.0	0.7265778875268248	0.49307548025207415	0.7265778875268248	0.6873648648648649	-0.1430713371392783	1.022772796109403
0.65	0.25	0.25	0.0	0.7258723579386779	0.4884786889120847	0.7258723579386779	0.6873648648648649	-0.13836151095192323	1.021514098029231
0.5	0.15	0.0	0.0	0.7251521298174443	0.4817662210048103	0.7251521298174443	0.6852702702702702	-0.14845426102658557	1.0211070436944727
0.8	0.8	0.15	0.0	0.7246670782255931	0.4942591882838202	0.7246670782255931	0.681081081081081	-0.16368299715931042	1.0210906497168986
0.65	0.35	0.15	0.0	0.7250933356850987	0.49186244005353286	0.7250933356850987	0.6873648648648649	-0.14118174231850023	1.020765938721583
0.8	0.65	0.2	0.0	0.7255930858100361	0.4933665043019589	0.7255930858100361	0.681081081081081	-0.14271050326313417	1.0205703596857583
0.8	0.5	0.35	0.0	0.7256371814092955	0.4970898130439959	0.7256371814092955	0.681081081081081	-0.13602453399910075	1.0200906016437097
0.65	0.35	0.1	0.0	0.7239468501043596	0.4901913582346271	0.7239468501043596	0.6873648648648649	-0.13931305177560246	1.0191833365022274
0.65	0.25	0.2	0.0	0.7240497398359645	0.48707165059850516	0.7240497398359645	0.6873648648648649	-0.13714135770315317	1.0191382131409377
0.65	0.25	0.15	0.0	0.7223006143986831	0.4859365577885668	0.7223006143986831	0.6873648648648649	-0.13525176288237512	1.0168006387586737
0.8	0.5	0.25	0.0	0.7230355410530028	0.4946512317965961	0.7230355410530028	0.681081081081081	-0.1334152244208537	1.016629806432084
0.65	0.35	0.0	0.0	0.7217273716083136	0.48557568510073423	0.7217273716083136	0.6873648648648649	-0.13627278134057144	1.0161657667473674
0.8	0.8	0.1	0.0	0.720492694829056	0.49206419465408324	0.720492694829056	0.681081081081081	-0.15929085631973436	1.015521299204061
0.8	0.65	0.15	0.0	0.7216097833436224	0.4902690801897888	0.7216097833436224	0.681081081081081	-0.13946053905102754	1.0153312344657723
0.65	0.25	0.1	0.0	0.7211247317517712	0.48401835987827546	0.7211247317517712	0.6873648648648649	-0.13338307233947733	1.015181290206602
0.8	0.5	0.2	0.0	0.7210659376194255	0.49307189477218394	0.7210659376194255	0.681081081081081	-0.13186595703061754	1.0140438607488933
0.5	0.0	0.0	0.0	0.7200370403033779	0.46737593823784696	0.7200370403033779	0.6852702702702702	-0.13925254676556614	1.0139770446610084
0.65	0.15	0.15	0.0	0.7203898050974513	0.4793983103205821	0.7203898050974513	0.6873648648648649	-0.1292966492235031	1.0139357180394242
0.8	0.35	0.35	0.0	0.7212276214833759	0.48830037599530796	0.7212276214833759	0.681081081081081	-0.12331856817692773	1.0135621744705363
0.65	0.25	0.0	0.0	0.7185230913954788	0.48087662930333375	0.7185230913954788	0.6873648648648649	-0.1303428019044463	1.011686018126434
0.65	0.15	0.1	0.0	0.7182585177999236	0.47726775300116225	0.7182585177999236	0.6873648648648649	-0.12742795713669683	1.01112211355057
0.8	0.65	0.1	0.0	0.7179498486051094	0.4879561634322489	0.7179498486051094	0.681081081081081	-0.13506839836878878	1.0104049447880519
0.8	0.8	0.0	0.0	0.7158332598406679	0.48677178611273275	0.7158332598406679	0.681081081081081	-0.15258673119703758	1.00916067545876
0.8	0.5	0.15	0.0	0.7170238410206662	0.48909348207154685	0.7170238410206662	0.681081081081081	-0.12861599281851085	1.0087312428634758
