candidate	weight_mode	l2	roc_auc	ap	lower_half_auc	q1_auc	source_holdout_auc	knownness_spearman	objective	n_features	columns
phylo_aug_swap	class_balanced+knownness_balanced	4.0	0.7958863129697674	0.7043977024632793	0.7286871270247229	0.6626689189189189	0.707572174164214	0.4722731125868302	1.231867896183391	12	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm
knownness_robust_base	source_balanced+class_balanced	4.0	0.8042088521152202	0.714830864012901	0.7318620101713849	0.6361824324324324	0.7231465482895831	0.5333167504589573	1.231635241255964	12	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm
knownness_robust_base	source_balanced+class_balanced	5.0	0.8043101853075683	0.7149472180294111	0.7317444219066938	0.6367905405405405	0.7215216792248301	0.5335452689613446	1.2314705235572891	12	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm
phylo_aug_swap	class_balanced+knownness_balanced	3.0	0.7959413853569132	0.704514673629859	0.7287826674897845	0.6628040540540541	0.704365613540572	0.4726627612661127	1.23129058777084	12	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm
kr_plus_pathogenic	source_balanced+class_balanced	5.0	0.8029135495695542	0.711555236130709	0.7314798483111385	0.6361824324324324	0.7249898675624215	0.53201851495601	1.2307497422671454	13	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm|pathogenic_context_fraction_norm
clinical_pathogenic	source_balanced+class_balanced	5.0	0.8029113466740684	0.71155421141224	0.7314724990445953	0.6361824324324324	0.7249898675624215	0.5320139741497888	1.2307458794884432	13	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|pathogenic_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm
kr_plus_amr_threat	source_balanced+class_balanced	5.0	0.8032043317736833	0.71425317104033	0.7310094952523738	0.6346283783783784	0.7234144322597889	0.5310910391640172	1.2303848177773469	13	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm|amr_clinical_threat_norm
kr_plus_amr_threat	source_balanced+class_balanced	4.0	0.8030457232987038	0.7140360794894798	0.731053590851633	0.6345608108108108	0.7233146724668283	0.5309112708779916	1.2302275447043627	13	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm|amr_clinical_threat_norm
knownness_robust_base	source_balanced+class_balanced	3.0	0.8040766783860707	0.7148252552801843	0.7317591204397801	0.6359797297297297	0.7164451785948469	0.5330893871321852	1.2301186697270579	12	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm
phylo_dual	source_balanced+class_balanced	5.0	0.8017041599478354	0.7039076978737848	0.7326924772907664	0.6391554054054054	0.7181496691550588	0.5290199893213984	1.2294905193285903	13	T_eff_norm|H_specialization_norm|H_phylogenetic_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm
clinical_pathogenic	source_balanced+class_balanced	4.0	0.8027108831848582	0.7114461478588546	0.731274068847929	0.6352364864864865	0.7208031186244288	0.5318645172653641	1.2294772827895764	13	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|pathogenic_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm
phylo_dual	source_balanced+class_balanced	4.0	0.8015411456818843	0.7026839686074103	0.7328688596878031	0.6394256756756757	0.7180088151999429	0.5290070674318321	1.2294078536715292	13	T_eff_norm|H_specialization_norm|H_phylogenetic_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm
kr_plus_pathogenic	source_balanced+class_balanced	3.0	0.802561086291822	0.711332321333425	0.7313181644471882	0.6351013513513514	0.7204358379938811	0.5316990562867637	1.2292600867406134	13	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm|pathogenic_context_fraction_norm
kr_plus_evenness	source_balanced+class_balanced	5.0	0.8013406821926741	0.6919995480592994	0.7365802392921187	0.6429391891891892	0.7144427408337027	0.5390082614713838	1.229110148608322	13	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm|host_taxon_evenness_norm
kr_plus_pathogenic	source_balanced+class_balanced	4.0	0.8027108831848582	0.7114461478588546	0.731274068847929	0.6352364864864865	0.7185447781944465	0.5318622155207403	1.2290258909129348	13	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm|pathogenic_context_fraction_norm
phylo_dual	source_balanced+class_balanced	3.0	0.8012745953280993	0.7013264508036393	0.732641032424964	0.6393581081081081	0.7147503432122007	0.5285371818593946	1.2284641334965227	13	T_eff_norm|H_specialization_norm|H_phylogenetic_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm
clinical_pathogenic	source_balanced+class_balanced	3.0	0.802561086291822	0.711332321333425	0.7313181644471882	0.6351013513513514	0.7161074050833587	0.5316990513400089	1.2283944007521195	13	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|pathogenic_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm
kr_plus_amr_threat	source_balanced+class_balanced	3.0	0.8027571439900605	0.7137560750097107	0.7305905870594115	0.6339527027027027	0.7165091770875354	0.5309341280501785	1.22831460069991	13	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm|amr_clinical_threat_norm
kr_plus_amr_threat	source_balanced+class_balanced+knownness_balanced	3.0	0.8039048525381762	0.7116974997521719	0.7284960460945997	0.6393581081081081	0.7138171110579901	0.5427717706205294	1.2279560977253123	13	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm|amr_clinical_threat_norm
kr_plus_evenness	source_balanced+class_balanced	4.0	0.8011159868531197	0.6922233313614887	0.736447952494341	0.6425337837837838	0.7095301043165886	0.5384333588497875	1.2278511471595221	13	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm|host_taxon_evenness_norm
kr_plus_amr_threat	source_balanced+class_balanced+knownness_balanced	4.0	0.8032439838924282	0.7104832737154363	0.7268498103889232	0.6398310810810811	0.7170208164217285	0.5433322065804728	1.2274694417200105	13	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm|amr_clinical_threat_norm
kr_plus_amr_threat	source_balanced+class_balanced+knownness_balanced	5.0	0.8027505353036031	0.7097457451567292	0.7260854866684305	0.6395608108108108	0.7207273670851615	0.543315234333094	1.2274359887633555	13	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm|amr_clinical_threat_norm
