base	extras	n_features	weight_mode	l2	roc_auc	ap	lower_half_auc	lowest_quartile_auc	knownness_spearman	objective	columns
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm	10	source_balanced	2.5	0.785616414214844	0.6854868813692497	0.7186921245259723	0.6304391891891892	0.42966947773207703	1.2134389235010503	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm
natural_core	clinical_context_fraction_norm,A_recurrence_norm	10	source_balanced+class_balanced	2.5	0.7996532642505308	0.7071366013578343	0.7318473116382985	0.6401013513513514	0.5220740471439322	1.2133269196460603	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm
natural_core	clinical_context_fraction_norm,A_recurrence_norm,pmlst_coherence_norm	11	source_balanced+class_balanced	2.5	0.8001511186303277	0.711385709054329	0.7315827380427433	0.6395608108108108	0.5228618761953362	1.2132919727613185	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm,pmlst_coherence_norm	11	source_balanced	2.5	0.7862332249508754	0.6954973291481898	0.7177661169415293	0.6296959459459459	0.43034143818671006	1.2132291820094088	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm|pmlst_coherence_norm
natural_core	clinical_context_fraction_norm,A_recurrence_norm,pmlst_coherence_norm	11	source_balanced+class_balanced	3.0	0.8001334954664411	0.7113633452590906	0.7314798483111385	0.6394932432432432	0.5229571292560531	1.2131841195207858	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm
natural_core	clinical_context_fraction_norm,A_recurrence_norm,pmlst_coherence_norm	11	source_balanced+class_balanced	3.5	0.8001158723025544	0.7115016634605248	0.7313916571126201	0.6394256756756757	0.5229247172696881	1.2131133270286034	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm,host_taxon_evenness_norm	11	source_balanced+class_balanced	4.0	0.7876122375250029	0.6648185207376259	0.7243804568304083	0.6331418918918919	0.45195793058724254	1.2130697661201864	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm|host_taxon_evenness_norm
natural_core	clinical_context_fraction_norm,ecology_context_diversity_norm,A_recurrence_norm	11	source_balanced+class_balanced	4.0	0.8036096645430754	0.7106242595830159	0.7318914072375577	0.6365202702702702	0.5326805958014584	1.2130356297474774	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm|A_recurrence_norm
natural_core	clinical_context_fraction_norm,A_recurrence_norm,pmlst_coherence_norm	11	source_balanced+class_balanced	4.0	0.8000674086018663	0.7116962565067649	0.7313034659141018	0.6393581081081081	0.5229406745603622	1.21299960168036	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm
natural_core	clinical_context_fraction_norm,A_recurrence_norm	10	source_balanced+class_balanced	4.0	0.799538713685268	0.7074305896932974	0.7317885175059529	0.6396959459459459	0.5221914952231014	1.2129799966822516	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm
