model_name	feature_name	coefficient	standard_error	coefficient_ci_lower	coefficient_ci_upper	abs_coefficient	direction	n_backbones
support_synergy_priority	pmlst_coherence_norm	0.28527734531100185	0.7710019729862406	-1.2258587537513534	1.796413444373357	0.28527734531100185	positive	989
support_synergy_priority	last_resort_convergence_norm	0.22888224622231082	0.5003602782559086	-0.7518058784537099	1.2095703708983316	0.22888224622231082	positive	989
support_synergy_priority	A_eff_norm	-0.18385363836506244	0.5896236955752018	-1.3394948461238667	0.9717875693937419	0.18385363836506244	negative	989
support_synergy_priority	amr_mechanism_diversity_norm	-0.18256368012362675	0.305319211722192	-0.7809783388872826	0.41585097864002907	0.18256368012362675	negative	989
support_synergy_priority	plasmidfinder_support_norm	0.13647406508919688	0.034717014800793214	0.06842996642889818	0.20451816374949558	0.13647406508919688	positive	989
support_synergy_priority	context_support_guard_norm	0.12360310855125409	0.6711024483583485	-1.1917335201677606	1.4389397372702688	0.12360310855125409	positive	989
support_synergy_priority	metadata_support_depth_norm	0.11400439047215705	0.3811952924555665	-0.6331246538169663	0.8611334347612803	0.11400439047215705	positive	989
support_synergy_priority	H_external_host_range_norm	0.07159470448087342	0.14383930241780504	-0.2103251478193896	0.3535145567811364	0.07159470448087342	positive	989
support_synergy_priority	assignment_confidence_norm	0.0	0.8164965782060708	-1.6003038867840904	1.6003038867840904	0.0	positive	989
phylo_support_fusion_priority	H_external_host_range_support	-1.679759640424357	0.6893243189581951	-3.0308104792500203	-0.32870880159869387	1.679759640424357	negative	989
phylo_support_fusion_priority	H_support_norm	1.2648923149012008	0.5671822359879503	0.15323555969392055	2.376549070108481	1.2648923149012008	positive	989
phylo_support_fusion_priority	H_obs_specialization_norm	1.099579151585785	0.41731662716567947	0.2816535921913236	1.9175047109802463	1.099579151585785	positive	989
phylo_support_fusion_priority	plasmidfinder_complexity_norm	1.0217597793106008	0.3280224038672063	0.37884768160862425	1.6646718770125775	1.0217597793106008	positive	989
phylo_support_fusion_priority	clinical_context_fraction_norm	1.0190939582312042	0.6269011980976432	-0.20960981190518635	2.247797728367595	1.0190939582312042	positive	989
phylo_support_fusion_priority	T_A_synergy_norm	-0.9697575314350584	0.6632368789421187	-2.269677927380363	0.3301628645102461	0.9697575314350584	negative	989
phylo_support_fusion_priority	coherence_score	0.8305784833002232	0.4681160004086821	-0.08691201808773097	1.7480689846881774	0.8305784833002232	positive	989
phylo_support_fusion_priority	amr_load_density_norm	0.8087268708462692	0.4643726511810269	-0.10142680087392497	1.7188805425664633	0.8087268708462692	positive	989
phylo_support_fusion_priority	clinical_A_synergy_norm	-0.7995452200045614	0.7799963131025153	-2.3283099017595186	0.729219461750396	0.7995452200045614	negative	989
phylo_support_fusion_priority	amr_clinical_escalation_norm	0.7564850522498321	0.739400131926756	-0.6927125764907742	2.2056826809904386	0.7564850522498321	positive	989
phylo_support_fusion_priority	mean_n_replicon_types_norm	-0.7465474026396652	0.5017403850529968	-1.7299404869327977	0.2368456816534673	0.7465474026396652	negative	989
phylo_support_fusion_priority	H_support_norm_residual	-0.7111704622046033	0.38456898414577095	-1.4649118207014693	0.04257089629226274	0.7111704622046033	negative	989
phylo_support_fusion_priority	evolutionary_jump_score_norm	0.6943900159711086	0.8496987580814326	-0.9709889475769115	2.359768979519129	0.6943900159711086	positive	989
phylo_support_fusion_priority	silent_carrier_risk_norm	0.6894976629293849	0.5335899320381351	-0.3563193863785351	1.735314712237305	0.6894976629293849	positive	989
phylo_support_fusion_priority	H_A_synergy_norm	0.678220194700924	0.6648138137090834	-0.6247909365936003	1.9812313259954482	0.678220194700924	positive	989
phylo_support_fusion_priority	external_t_synergy_norm	0.6331925449903135	0.4605487793323035	-0.2694664756248861	1.5358515656055132	0.6331925449903135	positive	989
phylo_support_fusion_priority	pmlst_presence_fraction_train	0.6061279424864991	1.0156147363145596	-1.3844403628581814	2.5966962478311797	0.6061279424864991	positive	989
phylo_support_fusion_priority	H_evenness_T_synergy_norm	-0.4998265890454278	0.47355669020762503	-1.4279806464903646	0.4283274683995089	0.4998265890454278	negative	989
phylo_support_fusion_priority	pmlst_coherence_norm	0.4591723116454441	1.0646249407820616	-1.6274542293304843	2.5457988526213726	0.4591723116454441	positive	989
phylo_support_fusion_priority	pmlst_presence_norm	0.45253461853662386	1.0459219122627275	-1.5974346601395844	2.502503897212832	0.45253461853662386	positive	989
phylo_support_fusion_priority	A_recurrence_norm	-0.4512346311537062	0.4905770553216316	-1.4127479912258178	0.5102787289184054	0.4512346311537062	negative	989
phylo_support_fusion_priority	amr_support_norm_residual	-0.44754145623780517	0.5236196854130784	-1.473817181243632	0.5787342687680216	0.44754145623780517	negative	989
phylo_support_fusion_priority	replicon_architecture_norm	0.43804147999774473	0.3231624971908794	-0.19534537565040527	1.0714283356458947	0.43804147999774473	positive	989
phylo_support_fusion_priority	backbone_purity_norm	-0.38161441256176876	0.3585745571997368	-1.0844076304456505	0.32117880532211296	0.38161441256176876	negative	989
phylo_support_fusion_priority	ecology_context_diversity_norm	0.36338052143762256	0.30774643439132776	-0.23979140633999851	0.9665524492152436	0.36338052143762256	positive	989
phylo_support_fusion_priority	amr_support_norm	0.35907904417162395	0.6622520104552284	-0.9389110450098671	1.6570691333531151	0.35907904417162395	positive	989
phylo_support_fusion_priority	A_eff_norm	-0.3029159263420704	0.7478402225387802	-1.7686558287084988	1.162823976024358	0.3029159263420704	negative	989
phylo_support_fusion_priority	amr_mechanism_diversity_norm	-0.2931710000656725	0.3507269452331085	-0.9805831811303172	0.39424118099897215	0.2931710000656725	negative	989
phylo_support_fusion_priority	metadata_support_depth_norm	0.2162996496276904	0.4364032568360159	-0.6390350165068839	1.0716343157622648	0.2162996496276904	positive	989
phylo_support_fusion_priority	mash_neighbor_distance_train_norm	0.212105666691479	0.5802244126899373	-0.9251132851317031	1.349324618514661	0.212105666691479	positive	989
phylo_support_fusion_priority	T_eff_norm	0.20007192309472555	0.5092581132818403	-0.7980556377725004	1.1981994839619516	0.20007192309472555	positive	989
phylo_support_fusion_priority	last_resort_convergence_norm	0.19557494802608347	0.568170002307265	-0.9180177935921953	1.3091676896443623	0.19557494802608347	positive	989
phylo_support_fusion_priority	H_phylogenetic_augmented_specialization_norm	-0.19540833301539987	0.1221423872465401	-0.43480301300436286	0.043986346973563156	0.19540833301539987	negative	989
phylo_support_fusion_priority	context_support_guard_norm	-0.12523587201159428	0.9147406872681887	-1.9180946742506608	1.6676229302274723	0.12523587201159428	negative	989
phylo_support_fusion_priority	H_external_host_range_norm	-0.10816920166214082	0.19478572547145453	-0.48994220828869794	0.2736038049644163	0.10816920166214082	negative	989
phylo_support_fusion_priority	host_phylogenetic_dispersion_norm	0.02419373361475283	0.8477025091141458	-1.6372726538532099	1.6856601210827156	0.02419373361475283	positive	989
phylo_support_fusion_priority	plasmidfinder_support_norm	-0.0018236955676998977	0.05317541725915412	-0.10604559825853156	0.10239820712313176	0.0018236955676998977	negative	989
phylo_support_fusion_priority	assignment_confidence_norm	0.0	1.1547005306812481	-2.263171453064534	2.263171453064534	0.0	positive	989
