model_name	model_track	roc_auc	average_precision	prediction_vs_knownness_spearman	ece	weighted_classification_cost	decision_utility_score	decision_utility_cost	optimal_decision_threshold	decision_utility_precision	decision_utility_recall	decision_utility_positive_rate	spatial_holdout_roc_auc	selection_adjusted_empirical_p_roc_auc	lower_half_knownness_n_backbones	lower_half_knownness_roc_auc	lowest_knownness_quartile_n_backbones	lowest_knownness_quartile_roc_auc	matched_knownness_weighted_roc_auc	source_holdout_weighted_roc_auc	source_holdout_macro_roc_auc	roc_auc_component_score	average_precision_component_score	lower_half_knownness_roc_auc_component_score	lowest_knownness_quartile_roc_auc_component_score	matched_knownness_weighted_roc_auc_component_score	source_holdout_macro_roc_auc_component_score	prediction_vs_knownness_spearman_component_score	decision_utility_score_component_score	selection_composite_score	selection_metric_count	selection_missing_metric_count	leakage_review_required	leakage_review_reason	knownness_matched_gap	source_holdout_gap	guardrail_loss	governance_priority_score	strict_knownness_acceptance_flag	spatial_holdout_gap	matched_knownness_gate_pass	source_holdout_gate_pass	spatial_holdout_gate_pass	calibration_gate_pass	selection_adjusted_gate_pass	leakage_review_gate_pass	scientific_acceptance_scored	scientific_acceptance_flag	scientific_acceptance_status	selection_metrics_complete	scientific_acceptance_failed_criteria	selection_rank	track_rank	discovery_track_rank	governance_track_rank	baseline_track_rank	governance_rank
discovery_5f_phylo	discovery	0.7664049626829504	0.685744542250225	0.496748368355535		0.26188068756319516	-0.26188068756319516	0.26188068756319516	0.17025142171258417	0.45803698435277385	0.8895027624309392	0.7108190091001011	0.7560853700463108		631	0.6889055472263869	0			0.7479906704087242	0.7099087167598777	0.34883720930232553	0.37209302325581395	0.39534883720930236			0.3142857142857143	0.7209302325581395	0.32558139534883723	0.35386805885144756	6	1	False			-0.018414292274226196	1.018414292274226	-0.25200932959127564	False	-0.010319592636639618	False	False	True	False	False	True	False	False	not_scored	False	missing:ece,matched_knownness_weighted_roc_auc,selection_adjusted_empirical_p_roc_auc		6				
threat_architecture_priority	governance	0.7776000775419211	0.6940646156037844	0.6111156775058179		0.23356926188068755	-0.23356926188068755	0.23356926188068755	0.2464860010906474	0.39377085650723026	0.9779005524861878	0.9089989888776542	0.7677423909457357		631	0.6707528588646853	0		0.7067879499492119	0.7634445359821889	0.7100372740070087	0.4418604651162791	0.4651162790697675	0.18604651162790697		0.4347826086956522	0.34285714285714286	0.11627906976744184	0.4651162790697675	0.3502940508862798	7	0	False		-0.07081212759270916	-0.014155541559732199	0.08496766915244136	0.6926324083894797	False	-0.009857686596185355	False	False	True	False	False	True	False	False	not_scored	False	missing:ece,selection_adjusted_empirical_p_roc_auc		19				
bio_clean_priority	discovery	0.7454289918669099	0.6538034832512319	0.40192547546998936		0.2679474216380182	-0.2679474216380182	0.2679474216380182	0.0	0.3660262891809909	1.0	1.0	0.7309592483173079		631	0.6929623423582326	0		0.6987471388426514	0.7073423654930302	0.6713223775184803	0.2325581395348837	0.2093023255813954	0.4418604651162791		0.3913043478260869	0.11428571428571432	0.813953488372093	0.09302325581395354	0.32804110521862945	7	0	False		-0.046681853024258535	-0.03808662637387972	0.08476847939813825	0.6606605124687717	False	-0.014469743549602065	False	False	True	False	False	True	False	False	not_scored	False	missing:ece,selection_adjusted_empirical_p_roc_auc		7				
balanced_evidence_priority	governance	0.7792610607382343	0.7073100204547517	0.5460329524309679		0.24064711830131447	-0.24064711830131447	0.24064711830131447	0.16801951961357858	0.4530386740331492	0.9060773480662984	0.7320525783619818			631	0.6868771496604639	0					0.4651162790697675	0.5813953488372092	0.37209302325581395				0.4418604651162791	0.41860465116279066	0.32558139534883723	5	2	False				2.0	-1.2207389392617656	False		False	False	False	False	False	True	False	False	not_scored	False	missing:ece,matched_knownness_weighted_roc_auc,selection_adjusted_empirical_p_roc_auc,source_holdout_weighted_roc_auc,spatial_holdout_roc_auc		20				
hybrid_agreement_priority	discovery	0.7822283609576427	0.7068473349354064	0.5299713908852796		0.25075834175935285	-0.25075834175935285	0.25075834175935285	0.16137415462885185	0.4278416347381865	0.925414364640884	0.7917087967644085			631	0.6820927771408414	0					0.4883720930232558	0.5348837209302326	0.3023255813953488				0.5348837209302326	0.34883720930232553	0.3156146179401994	5	2	False				2.0	-1.2177716390423572	False		False	False	False	False	False	True	False	False	not_scored	False	missing:ece,matched_knownness_weighted_roc_auc,selection_adjusted_empirical_p_roc_auc,source_holdout_weighted_roc_auc,spatial_holdout_roc_auc		8				
full_priority	governance	0.7747891829020064	0.6867095570772024	0.6716648874929623	0.0342238009825754	0.23761375126390294	-0.23761375126390294	0.23761375126390294	0.21706656185682616	0.48847926267281105	0.8784530386740331	0.6582406471183013	0.7803650113940486		631	0.6417232560190493	0		0.6925318378529636	0.7468389459664756	0.718412460968431	0.39534883720930236	0.39534883720930236	0.13953488372093026		0.34782608695652173	0.4285714285714286	0.046511627906976716	0.4418604651162791	0.3135717380986773	7	0	False		-0.08225734504904281	-0.02795023693553078	0.11020758198457359	0.6645816009174328	False	0.00557582849204219	False	False	True	True	False	True	False	False	not_scored	False	missing:selection_adjusted_empirical_p_roc_auc		21				
discovery_4f_hybrid	discovery	0.7667309912148528	0.6853238753811312	0.49679042846799276		0.2679474216380182	-0.2679474216380182	0.2679474216380182	0.0	0.3660262891809909	1.0	1.0	0.7574760527774238		631	0.6868477525942911	0			0.7479385069614534	0.7094225506601128	0.37209302325581395	0.34883720930232553	0.34883720930232553			0.2857142857142857	0.6976744186046512	0.09302325581395354	0.3065970574276222	6	1	False			-0.01879248425339941	1.0187924842533995	-0.25206149303854675	False	-0.009254938437428972	False	False	True	False	False	True	False	False	not_scored	False	missing:ece,matched_knownness_weighted_roc_auc,selection_adjusted_empirical_p_roc_auc		9				
parsimonious_priority	discovery	0.7505793615127724	0.6591153194245379	0.48612612807314554	0.0461777612959563	0.2679474216380182	-0.2679474216380182	0.2679474216380182	0.0	0.3660262891809909	1.0	1.0	0.7409561906444806		631	0.6749272422612224	0		0.6831103876128551	0.73557847326372	0.6998119948306516	0.2558139534883721	0.2325581395348837	0.2325581395348837		0.30434782608695654	0.2571428571428571	0.7674418604651163	0.09302325581395354	0.3061265760095747	7	0	False		-0.06746897389991724	-0.015000888249052435	0.08246986214896967	0.6681094993638027	False	-0.009623170868291786	False	False	True	True	False	True	False	False	not_scored	False	missing:selection_adjusted_empirical_p_roc_auc		10				
regime_stability_priority	governance	0.6773991734736137	0.5551571085099366	0.10757693484874592		0.2679474216380182	-0.2679474216380182	0.2679474216380182	0.0	0.3660262891809909	1.0	1.0	0.6421265084186942		631	0.7189199517888115	0		0.6772845499656965	0.5766353523210669	0.6062427331975424	0.09302325581395354	0.09302325581395354	0.5813953488372092		0.26086956521739135	0.05714285714285716	0.9534883720930233	0.09302325581395354	0.3045665586760488	7	0	False		-0.00011462350791713316	-0.10076382115254678	0.10087844466046392	0.5765207288131498	False	-0.03527266505491944	True	False	False	False	False	True	False	False	not_scored	False	missing:ece,selection_adjusted_empirical_p_roc_auc		22				
proxy_light_priority	governance	0.7450677170072343	0.6629093859773986	0.3772745654726076		0.24469160768452983	-0.24469160768452983	0.24469160768452983	0.16881260021613048	0.40731995277449823	0.9530386740331491	0.8564206268958544	0.7449139085536474		631	0.6670782255930858	0			0.6921283093228598	0.6804707257008252	0.2093023255813954	0.2558139534883721	0.16279069767441856			0.1428571428571429	0.8604651162790697	0.39534883720930236	0.2895111532985287	6	1	False			-0.05293940768437444	1.0529394076843746	-0.30787169067714026	False	-0.0001538084535869233	False	False	True	False	False	True	False	False	not_scored	False	missing:ece,matched_knownness_weighted_roc_auc,selection_adjusted_empirical_p_roc_auc		23				
