backbone_id	mean_jump_distance_km	max_jump_distance_km	jump_distance_dispersion_km	interregional_leap_count	long_jump_label
AA011	0.0	0.0	0.0	1	1.0
AA013	0.0	0.0	0.0	4	
AA709	0.0	0.0	0.0	2	
AD188	0.0	0.0	0.0	4	
AF546	0.0	0.0	0.0	2	
AC666	0.0	0.0	0.0	1	
AB880	0.0	0.0	0.0	4	
AC102	0.0	0.0	0.0	1	
AE104	0.0	0.0	0.0	2	
AE105	0.0	0.0	0.0	5	
AC212	0.0	0.0	0.0	1	1.0
AG463	0.0	0.0	0.0	2	
AG895	0.0	0.0	0.0	0	
AE125	0.0	0.0	0.0	1	
AE123	0.0	0.0	0.0	3	
AA541	0.0	0.0	0.0	4	
AA966	0.0	0.0	0.0	5	
AA032	0.0	0.0	0.0	2	
AA297	0.0	0.0	0.0	3	1.0
AA449	0.0	0.0	0.0	3	1.0
AA031	0.0	0.0	0.0	1	
AB531	0.0	0.0	0.0	4	
AA448	0.0	0.0	0.0	5	
AA002	0.0	0.0	0.0	4	
AA172	0.0	0.0	0.0	5	
AA973	0.0	0.0	0.0	3	
AA163	0.0	0.0	0.0	5	
AD237	0.0	0.0	0.0	1	
AB553	0.0	0.0	0.0	2	
AA431	0.0	0.0	0.0	1	
AE727	0.0	0.0	0.0	3	
AD918	0.0	0.0	0.0	2	
AE908	0.0	0.0	0.0	2	
AA865	0.0	0.0	0.0	1	1.0
AD366	0.0	0.0	0.0	1	
AE914	0.0	0.0	0.0	2	
AD432	0.0	0.0	0.0	2	
AD423	0.0	0.0	0.0	2	
AB419	0.0	0.0	0.0	0	
AD923	0.0	0.0	0.0	0	
AD430	0.0	0.0	0.0	1	
AE909	0.0	0.0	0.0	1	
AA869	0.0	0.0	0.0	1	
AE811	0.0	0.0	0.0	0	
AG035	0.0	0.0	0.0	3	
AG664	0.0	0.0	0.0	1	
AB110	0.0	0.0	0.0	5	1.0
AB870	0.0	0.0	0.0	0	
AA083	0.0	0.0	0.0	2	1.0
AC315	0.0	0.0	0.0	4	
AF609	0.0	0.0	0.0	5	1.0
AD535	0.0	0.0	0.0	1	
AG000	0.0	0.0	0.0	2	
AD074	0.0	0.0	0.0	2	
AA874	0.0	0.0	0.0	2	
AB867	0.0	0.0	0.0	3	
AD504	0.0	0.0	0.0	2	
AB053	0.0	0.0	0.0	3	
AH377	0.0	0.0	0.0	1	
AC527	0.0	0.0	0.0	4	
AD228	0.0	0.0	0.0	4	
AE536	0.0	0.0	0.0	2	1.0
AB620	0.0	0.0	0.0	2	
AB114	0.0	0.0	0.0	4	1.0
AB255	0.0	0.0	0.0	2	
AF189	0.0	0.0	0.0	2	
AF252	0.0	0.0	0.0	1	
AB675	0.0	0.0	0.0	1	1.0
AE214	0.0	0.0	0.0	1	
AE689	0.0	0.0	0.0	6	
AB011	0.0	0.0	0.0	2	
AB872	0.0	0.0	0.0	4	
AA121	0.0	0.0	0.0	4	
AD698	0.0	0.0	0.0	2	
AC578	0.0	0.0	0.0	3	
AC057	0.0	0.0	0.0	1	
AE233	0.0	0.0	0.0	3	1.0
AB239	0.0	0.0	0.0	4	
AA669	0.0	0.0	0.0	5	
AC357	0.0	0.0	0.0	2	1.0
AC027	0.0	0.0	0.0	3	
AF999	0.0	0.0	0.0	1	
AE255	0.0	0.0	0.0	1	
AC706	0.0	0.0	0.0	3	
AF430	0.0	0.0	0.0	3	
AC256	0.0	0.0	0.0	1	
AH174	0.0	0.0	0.0	1	1.0
AB804	0.0	0.0	0.0	2	
AA088	0.0	0.0	0.0	2	
AF616	0.0	0.0	0.0	2	
AD518	0.0	0.0	0.0	5	
AF724	0.0	0.0	0.0	1	
AD193	0.0	0.0	0.0	0	
AH455	0.0	0.0	0.0	1	
AF715	0.0	0.0	0.0	1	
AA893	0.0	0.0	0.0	4	
AB758	0.0	0.0	0.0	3	
AB172	0.0	0.0	0.0	3	1.0
AC732	0.0	0.0	0.0	4	
AC137	0.0	0.0	0.0	4	
AD802	0.0	0.0	0.0	2	
AE973	0.0	0.0	0.0	3	
AA932	0.0	0.0	0.0	1	1.0
AF582	0.0	0.0	0.0	3	
AF635	0.0	0.0	0.0	2	
AE236	0.0	0.0	0.0	3	
AA411	0.0	0.0	0.0	4	1.0
AF618	0.0	0.0	0.0	2	
AB722	0.0	0.0	0.0	3	
AC060	0.0	0.0	0.0	1	
AB724	0.0	0.0	0.0	3	1.0
AD302	0.0	0.0	0.0	0	
AC245	0.0	0.0	0.0	0	
AA910	0.0	0.0	0.0	1	
AB052	0.0	0.0	0.0	1	
AB462	0.0	0.0	0.0	3	
AB547	0.0	0.0	0.0	2	
AB655	0.0	0.0	0.0	0	0.0
AG964	0.0	0.0	0.0	2	
AE387	0.0	0.0	0.0	3	
AE018	0.0	0.0	0.0	3	
AF477	0.0	0.0	0.0	0	
AA915	0.0	0.0	0.0	2	
AD693	0.0	0.0	0.0	0	
AD281	0.0	0.0	0.0	4	
AB674	0.0	0.0	0.0	1	1.0
AE656	0.0	0.0	0.0	2	
AB670	0.0	0.0	0.0	2	
AA784	0.0	0.0	0.0	3	
AB361	0.0	0.0	0.0	4	
AB389	0.0	0.0	0.0	1	
AC693	0.0	0.0	0.0	4	
AB631	0.0	0.0	0.0	3	1.0
AB946	0.0	0.0	0.0	0	0.0
AD836	0.0	0.0	0.0	0	
AG086	0.0	0.0	0.0	1	
AH350	0.0	0.0	0.0	2	
AA645	0.0	0.0	0.0	2	
AA807	0.0	0.0	0.0	2	
AA646	0.0	0.0	0.0	3	
AB640	0.0	0.0	0.0	3	1.0
AD195	0.0	0.0	0.0	3	
AA093	0.0	0.0	0.0	2	
AF405	0.0	0.0	0.0	2	
AD508	0.0	0.0	0.0	0	
AE167	0.0	0.0	0.0	2	
AE168	0.0	0.0	0.0	2	
AE253	0.0	0.0	0.0	4	
AG191	0.0	0.0	0.0	3	
AG193	0.0	0.0	0.0	3	
AB736	0.0	0.0	0.0	3	
AA621	0.0	0.0	0.0	3	
AF888	0.0	0.0	0.0	3	
AB161	0.0	0.0	0.0	4	1.0
AB978	0.0	0.0	0.0	3	1.0
AA827	0.0	0.0	0.0	3	1.0
AB686	0.0	0.0	0.0	4	
AD443	0.0	0.0	0.0	5	
AC676	0.0	0.0	0.0	1	1.0
AF036	0.0	0.0	0.0	1	
AF114	0.0	0.0	0.0	3	
AD858	0.0	0.0	0.0	2	
AD860	0.0	0.0	0.0	3	
AD247	0.0	0.0	0.0	3	
AC353	0.0	0.0	0.0	1	
AD076	0.0	0.0	0.0	3	
AE070	0.0	0.0	0.0	2	
AA132	0.0	0.0	0.0	4	
AA081	0.0	0.0	0.0	3	
AB413	0.0	0.0	0.0	3	1.0
AC935	0.0	0.0	0.0	5	
AB756	0.0	0.0	0.0	4	1.0
AD910	0.0	0.0	0.0	4	1.0
AD909	0.0	0.0	0.0	3	
AC731	0.0	0.0	0.0	5	
AE672	0.0	0.0	0.0	4	
AC534	0.0	0.0	0.0	2	1.0
AA890	0.0	0.0	0.0	4	
AB615	0.0	0.0	0.0	4	
AA892	0.0	0.0	0.0	4	
AB918	0.0	0.0	0.0	4	
AB173	0.0	0.0	0.0	6	
AC733	0.0	0.0	0.0	3	1.0
AF344	0.0	0.0	0.0	3	1.0
AD563	0.0	0.0	0.0	2	
AC843	0.0	0.0	0.0	0	
AF026	0.0	0.0	0.0	1	1.0
AF876	0.0	0.0	0.0	2	
AA855	0.0	0.0	0.0	6	
AB134	0.0	0.0	0.0	2	
AD726	0.0	0.0	0.0	1	1.0
AC535	0.0	0.0	0.0	4	
AA891	0.0	0.0	0.0	4	
AA287	0.0	0.0	0.0	2	
AF464	0.0	0.0	0.0	2	
