backbone_id	priority_group	priority_index	selection_score	selection_score_column	dominant_species	dominant_genus	amr_class_count	who_mia_mapped_class_count	who_mia_unmapped_class_count	who_mia_mapped_fraction	who_mia_top_categories	who_mia_top_classes	who_mia_scope_labels	who_mia_any_hpecia	who_mia_any_cia	who_mia_any_hia	who_mia_any_ia	who_mia_any_support
AC129	high	0.4432976588678897	0.5400902670296308	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	4	2	2	0.5	HPCIA,CIA	Carbapenems with or without inhibitors,Macrolides	humans_only,both_humans_and_animals	True	True	False	False	True
AA353	high	0.8927560702247163	0.4987748433532178	primary_model_oof_prediction	Serratia_marcescens	Klebsiella	8	4	4	0.5	CIA,HIA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Aminoglycosides,Macrolides	both_humans_and_animals	False	True	True	False	True
AC281	high	0.4495327647326395	0.4878518237070884	primary_model_oof_prediction	Vibrio_cholerae	Vibrio	20	10	10	0.5	HIA,CIA,HPCIA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Quinolones,Aminoglycosides,Macrolides,Amphenicols	both_humans_and_animals	True	True	True	False	True
AB724	high	0.2884085886044429	0.4733235038021274	primary_model_oof_prediction	Staphylococcus_epidermidis	Staphylococcus	4	2	2	0.5	HPCIA	Phosphonic acid derivatives	both_humans_and_animals	True	False	False	False	True
AA664	high	0.7387961489823288	0.4636240819042626	primary_model_oof_prediction	Escherichia_coli	Escherichia	8	4	4	0.5	CIA,HIA	Aminoglycosides,Monobactams,Amphenicols,Tetracyclines	both_humans_and_animals,humans_only	False	True	True	False	True
AB889	high	0.3546940874322739	0.4624742587627112	primary_model_oof_prediction	Sphingomonas_naphthae	Sphingomonas	2	1	1	0.5	HPCIA	Glycopeptides and lipoglycopeptides	humans_only	True	False	False	False	True
AC751	high	0.2616472331386492	0.4594085336704798	primary_model_oof_prediction	Enterococcus_faecalis	Enterococcus	8	4	4	0.5	HIA,CIA,IA	Lincosamides,Oxazolidinones,Amphenicols,Pleuromutilins	both_humans_and_animals,humans_only	False	True	True	True	True
AG298	high	0.4013019235402663	0.4479683950369395	primary_model_oof_prediction	Arthrobacter_sp.	Arthrobacter	4	2	2	0.5	HIA,IA	Lincosamides,Pleuromutilins	both_humans_and_animals	False	False	True	True	True
AA003	high	0.7312936602372897	0.4479210668465495	primary_model_oof_prediction	Staphylococcus_simulans	Staphylococcus	4	2	2	0.5	HIA,IA	Lincosamides,Pleuromutilins	both_humans_and_animals	False	False	True	True	True
AA977	high	0.3074616895484737	0.4457481773805645	primary_model_oof_prediction	Escherichia_coli	Escherichia	2	1	1	0.5	CIA	Aminoglycosides	both_humans_and_animals	False	True	False	False	True
AC508	high	0.3919077576719372	0.4433899733870945	primary_model_oof_prediction	Enterobacter_cloacae	Enterobacter	2	1	1	0.5	CIA	Aminoglycosides	both_humans_and_animals	False	True	False	False	True
AA338	high	0.9438970038167876	0.7757773999266829	primary_model_oof_prediction	Escherichia_coli	Escherichia	33	16	17	0.48484848484848486	HPCIA,HIA,CIA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Quinolones,Aminoglycosides,Carbapenems with or without inhibitors,Polymyxins	both_humans_and_animals,humans_only	True	True	True	False	True
AF809	high	0.5488869630408636	0.5680042165142685	primary_model_oof_prediction	Pseudomonas_aeruginosa	Pseudomonas	29	14	15	0.4827586206896552	HPCIA,HIA,CIA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Quinolones,Aminoglycosides,Carbapenems with or without inhibitors,Glycopeptides and lipoglycopeptides	both_humans_and_animals,humans_only	True	True	True	False	True
AA279	high	0.6008311381340171	0.8954403616024061	primary_model_oof_prediction	Escherichia_coli	Escherichia	25	12	13	0.48	CIA,HIA,HPCIA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Aminoglycosides,Carbapenems with or without inhibitors,Quinolones,Glycylcyclines	both_humans_and_animals,humans_only	True	True	True	False	True
AE107	high	0.5240380170602429	0.6199794032597181	primary_model_oof_prediction	Raoultella_ornithinolytica	Raoultella	19	9	10	0.47368421052631576	CIA,HPCIA,HIA	Quinolones,Sulfonamides, dihydrofolate reductase inhibitors and combinations,Aminoglycosides,Glycopeptides and lipoglycopeptides,Macrolides	both_humans_and_animals,humans_only	True	True	True	False	True
