model_name	outcome_name	status	roc_auc	average_precision	positive_prevalence	precision_at_top_25	recall_at_top_25	n_backbones	n_positive
host_transfer_synergy_priority	macro_region_jump_label	ok	0.7630908497237474	0.8358116501347648	0.6097067745197169	0.92	0.03814262023217247	989	603
host_transfer_synergy_priority	host_family_jump_label	ok	0.6426139352968622	0.42796031517831296	0.2901921132457027	0.4	0.03484320557491289	989	287
host_transfer_synergy_priority	host_order_jump_label	ok	0.6183680420968557	0.3166877171096266	0.224469160768453	0.24	0.02702702702702703	989	222
host_transfer_synergy_priority	event_within_1y_label	ok	0.7794551155673219	0.35348744482949224	0.1243680485338726	0.48	0.0975609756097561	989	123
host_transfer_synergy_priority	event_within_3y_label	ok	0.7641394466087303	0.5858103574370911	0.2871587462082912	0.84	0.07394366197183098	989	284
host_transfer_synergy_priority	event_within_5y_label	ok	0.76633922724296	0.7507520826360474	0.48533872598584427	0.88	0.04583333333333333	989	480
host_transfer_synergy_priority	three_countries_within_3y_label	ok	0.8279715162261815	0.31413639601851695	0.0788675429726997	0.4	0.1282051282051282	989	78
host_transfer_synergy_priority	three_countries_within_5y_label	ok	0.830814082824995	0.599300283658285	0.22548028311425683	0.8	0.08968609865470852	989	223
host_transfer_synergy_priority	long_jump_label	ok	0.7630908497237474	0.8358116501347648	0.6097067745197169	0.92	0.03814262023217247	989	603
ecology_clinical_priority	macro_region_jump_label	ok	0.7536217874358776	0.8259398878704562	0.6097067745197169	0.92	0.03814262023217247	989	603
ecology_clinical_priority	host_family_jump_label	ok	0.6572907670468646	0.4285400797025241	0.2901921132457027	0.44	0.03832752613240418	989	287
ecology_clinical_priority	host_order_jump_label	ok	0.6360043224450004	0.31680954094493985	0.224469160768453	0.32	0.036036036036036036	989	222
ecology_clinical_priority	event_within_1y_label	ok	0.7822903171294993	0.35204313218207844	0.1243680485338726	0.48	0.0975609756097561	989	123
ecology_clinical_priority	event_within_3y_label	ok	0.7695734691838977	0.5906098895653583	0.2871587462082912	0.88	0.07746478873239436	989	284
ecology_clinical_priority	event_within_5y_label	ok	0.7655165356908972	0.7477825531541455	0.48533872598584427	0.88	0.04583333333333333	989	480
ecology_clinical_priority	three_countries_within_3y_label	ok	0.8309268484899659	0.32554675445471226	0.0788675429726997	0.44	0.14102564102564102	989	78
ecology_clinical_priority	three_countries_within_5y_label	ok	0.8232973105878771	0.5929082013477474	0.22548028311425683	0.76	0.08520179372197309	989	223
ecology_clinical_priority	long_jump_label	ok	0.7536217874358776	0.8259398878704562	0.6097067745197169	0.92	0.03814262023217247	989	603
adaptive_natural_priority	macro_region_jump_label	ok	0.8566708770482647	0.8908046477977666	0.6097067745197169	1.0	0.04145936981757877	989	603
adaptive_natural_priority	host_family_jump_label	ok	0.7225646981744542	0.44318069788169906	0.2901921132457027	0.36	0.0313588850174216	989	287
adaptive_natural_priority	host_order_jump_label	ok	0.6966888661803916	0.3317827442175872	0.224469160768453	0.16	0.018018018018018018	989	222
adaptive_natural_priority	event_within_1y_label	ok	0.8040612854165493	0.33528189948162757	0.1243680485338726	0.4	0.08130081300813008	989	123
adaptive_natural_priority	event_within_3y_label	ok	0.8136300069923085	0.6226280818916051	0.2871587462082912	0.88	0.07746478873239436	989	284
adaptive_natural_priority	event_within_5y_label	ok	0.8352897838899803	0.8014987547512773	0.48533872598584427	0.96	0.05	989	480
adaptive_natural_priority	three_countries_within_3y_label	ok	0.8317571561259816	0.2942765719092437	0.0788675429726997	0.44	0.14102564102564102	989	78
adaptive_natural_priority	three_countries_within_5y_label	ok	0.849512346474025	0.6241686019759343	0.22548028311425683	0.92	0.1031390134529148	989	223
adaptive_natural_priority	long_jump_label	ok	0.8566708770482647	0.8908046477977666	0.6097067745197169	1.0	0.04145936981757877	989	603
adaptive_knownness_robust_priority	macro_region_jump_label	ok	0.8748399625361964	0.9085542756450146	0.6097067745197169	1.0	0.04145936981757877	989	603
adaptive_knownness_robust_priority	host_family_jump_label	ok	0.7142062995721532	0.463307612019797	0.2901921132457027	0.56	0.04878048780487805	989	287
adaptive_knownness_robust_priority	host_order_jump_label	ok	0.6896942574908677	0.3409555528493275	0.224469160768453	0.4	0.04504504504504504	989	222
adaptive_knownness_robust_priority	event_within_1y_label	ok	0.8315871495897407	0.4020116078803209	0.1243680485338726	0.48	0.0975609756097561	989	123
adaptive_knownness_robust_priority	event_within_3y_label	ok	0.8414743781839976	0.6645890840588966	0.2871587462082912	0.88	0.07746478873239436	989	284
adaptive_knownness_robust_priority	event_within_5y_label	ok	0.8570522265880812	0.8327287040219803	0.48533872598584427	0.96	0.05	989	480
adaptive_knownness_robust_priority	three_countries_within_3y_label	ok	0.8790565453573137	0.3756781377553448	0.0788675429726997	0.44	0.14102564102564102	989	78
adaptive_knownness_robust_priority	three_countries_within_5y_label	ok	0.88134154480207	0.7056718427125331	0.22548028311425683	0.96	0.10762331838565023	989	223
adaptive_knownness_robust_priority	long_jump_label	ok	0.8748399625361964	0.9085542756450146	0.6097067745197169	1.0	0.04145936981757877	989	603
adaptive_knownness_blend_priority	macro_region_jump_label	ok	0.8615428900402994	0.9019212055119508	0.6097067745197169	1.0	0.04145936981757877	989	603
adaptive_knownness_blend_priority	host_family_jump_label	ok	0.7130299691275301	0.4638680791157732	0.2901921132457027	0.56	0.04878048780487805	989	287
adaptive_knownness_blend_priority	host_order_jump_label	ok	0.6873920856971705	0.3408928244613224	0.224469160768453	0.4	0.04504504504504504	989	222
adaptive_knownness_blend_priority	event_within_1y_label	ok	0.828883381212565	0.4008112470821562	0.1243680485338726	0.48	0.0975609756097561	989	123
adaptive_knownness_blend_priority	event_within_3y_label	ok	0.8325392068724403	0.6589454527145586	0.2871587462082912	0.88	0.07746478873239436	989	284
adaptive_knownness_blend_priority	event_within_5y_label	ok	0.8495743287491814	0.8284596475733313	0.48533872598584427	0.96	0.05	989	480
adaptive_knownness_blend_priority	three_countries_within_3y_label	ok	0.8749050071772355	0.37418089255244974	0.0788675429726997	0.44	0.14102564102564102	989	78
adaptive_knownness_blend_priority	three_countries_within_5y_label	ok	0.8799599573815405	0.7042019066676336	0.22548028311425683	0.96	0.10762331838565023	989	223
adaptive_knownness_blend_priority	long_jump_label	ok	0.8615428900402994	0.9019212055119508	0.6097067745197169	1.0	0.04145936981757877	989	603
adaptive_support_calibrated_blend_priority	macro_region_jump_label	ok	0.8670507565797954	0.9085999968341082	0.6097067745197169	1.0	0.04145936981757877	989	603
adaptive_support_calibrated_blend_priority	host_family_jump_label	ok	0.7200085370817079	0.46869150008318555	0.2901921132457027	0.52	0.04529616724738676	989	287
adaptive_support_calibrated_blend_priority	host_order_jump_label	ok	0.69729377356496	0.3505474925589031	0.224469160768453	0.36	0.04054054054054054	989	222
adaptive_support_calibrated_blend_priority	event_within_1y_label	ok	0.8418295499352222	0.42795388241486776	0.1243680485338726	0.52	0.10569105691056911	989	123
adaptive_support_calibrated_blend_priority	event_within_3y_label	ok	0.846668664469084	0.6907918824730878	0.2871587462082912	0.92	0.08098591549295775	989	284
adaptive_support_calibrated_blend_priority	event_within_5y_label	ok	0.8584806810740013	0.8449183012672932	0.48533872598584427	1.0	0.052083333333333336	989	480
adaptive_support_calibrated_blend_priority	three_countries_within_3y_label	ok	0.8982943510934729	0.43322789441682036	0.0788675429726997	0.48	0.15384615384615385	989	78
adaptive_support_calibrated_blend_priority	three_countries_within_5y_label	ok	0.8939397487384233	0.7516881040083582	0.22548028311425683	1.0	0.11210762331838565	989	223
