backbone_id	spread_label	visibility_expansion_label	dominant_genus	primary_replicon	dominant_mpf_type	amr_class_tokens	dominant_amr_gene_family
AE107	1	1	Serratia	IncFIB	MPF_F	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,FLUOROQUINOLONE,GLYCOPEPTIDE,MACROLIDE,QUINOLONE,RIFAMYCIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	ARSA
AA353	0	0	Serratia	IncU	MPF_T	AMINOGLYCOSIDE,BETA-LACTAM,MACROLIDE,MACROLIDE/STREPTOGRAMIN,STREPTOGRAMIN,SULFONAMIDE,TRIMETHOPRIM	AAC
AA752	1	1	Citrobacter	IncFIB	MPF_F	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,FLUOROQUINOLONE,MACROLIDE,PHENICOL,QUINOLONE,RIFAMYCIN,SULFONAMIDE,TRIMETHOPRIM	SUL
AA045	1	1	Citrobacter	IncFIB	MPF_F	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,CARBAPENEM,CEPHALOSPORIN,CEPHAMYCIN,FLUOROQUINOLONE,FOSFOMYCIN,GLYCOPEPTIDE,MACROLIDE,PENAM,PENEM,PHENICOL,QUINOLONE,RIFAMYCIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	AAC
AC242	0	0	Citrobacter	IncX5		MACROLIDE,MACROLIDE/STREPTOGRAMIN,STREPTOGRAMIN,TETRACYCLINE	MPHE
AB071	1	1	Citrobacter	rep_cluster_2335			
AA435	1	1	Klebsiella	IncFII	MPF_F	AMINOGLYCOSIDE,BETA-LACTAM,CARBAPENEM,CEPHALOSPORIN,PENAM,PHENICOL,SULFONAMIDE	AAC
AA123	1	1	Klebsiella	ColRNAI_rep_cluster_1987			
AB159	1	1	Klebsiella	IncN	MPF_T	AMINOGLYCOSIDE,BETA-LACTAM	BLAKPC
AB193	1	1	Klebsiella	IncR	MPF_T	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,CARBAPENEM,CEPHALOSPORIN,DIAMINOPYRIMIDINE,FLUOROQUINOLONE,FOSFOMYCIN,GLYCOPEPTIDE,MACROLIDE,MACROLIDE/STREPTOGRAMIN,MONOBACTAM,PENAM,PENEM,PEPTIDE,PHENICOL,QUINOLONE,RIFAMYCIN,STREPTOGRAMIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	AAC
