backbone_id	n_new_countries_recomputed	time_to_first_new_country_years	time_to_third_new_country_years	event_within_1y_label	event_within_3y_label	event_within_5y_label	three_countries_within_3y_label	three_countries_within_5y_label	spread_severity_bin
AD074	2	5.0							
AA874	3	2.0	8.0						
AB867	5	1.0	6.0						
AD504	2	1.0							
AB053	3	5.0	7.0						
AH377	2	4.0							
AC527	10	4.0	6.0						
AD228	6	2.0	4.0						
AE536	2	5.0		0.0	0.0	1.0	0.0	0.0	1.0
AB620	2	5.0							
AB114	12	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0
AB255	4	2.0	8.0						
AF189	2	4.0							
AF252	1	5.0							
AB675	2	1.0		1.0	1.0	1.0	0.0	0.0	1.0
AE214	1	5.0							
AE689	9	2.0	4.0						
AB011	2	3.0							
AB872	9	1.0	3.0						
AA121	9	4.0	5.0						
AD698	2	3.0							
AC578	6	3.0	5.0						
AC057	1	1.0							
AE233	8	4.0	5.0	0.0	0.0	1.0	0.0	1.0	3.0
AB239	8	3.0	4.0						
AA669	10	2.0	5.0						
AC357	4	5.0	7.0	0.0	0.0	1.0	0.0	0.0	2.0
AC027	5	1.0	6.0						
AF999	1	3.0							
AE255	1	3.0							
AC706	3	3.0	8.0						
AF430	3	5.0	6.0						
AC256	2	2.0							
AH174	1	8.0		0.0	0.0	0.0	0.0	0.0	1.0
AB804	4	1.0	7.0						
AA088	2	6.0							
AF616	2	4.0							
AD518	14	4.0	5.0						
AF724	1	5.0							
AD193	0								
AH455	1	2.0							
AF715	2	2.0							
AA893	15	3.0	4.0						
AB758	5	1.0	4.0						
AB172	7	2.0	5.0	0.0	1.0	1.0	0.0	1.0	3.0
AC732	11	1.0	3.0						
AC137	8	1.0	3.0						
AD802	2	6.0							
AE973	5	4.0	5.0						
AA932	2	2.0		0.0	1.0	1.0	0.0	0.0	1.0
AF582	4	4.0	6.0						
AF635	3	5.0	7.0						
AE236	6	2.0	4.0						
AA411	15	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0
AF618	2	5.0							
AB722	6	2.0	4.0						
AC060	1	7.0							
AB724	7	2.0	7.0	0.0	1.0	1.0	0.0	0.0	3.0
AD302	0								
AC245	0								
AA910	3	1.0	6.0						
AB052	1	7.0							
AB462	4	2.0	8.0						
AB547	3	5.0	8.0						
AB655	0			0.0	0.0	0.0	0.0	0.0	0.0
AG964	2	8.0							
AE387	3	6.0	8.0						
AE018	4	6.0	8.0						
AF477	0								
AA915	3	3.0	7.0						
AD693	0								
AD281	11	2.0	3.0						
AB674	1	7.0		0.0	0.0	0.0	0.0	0.0	1.0
AE656	2	1.0							
AB670	2	1.0							
AA784	4	1.0	5.0						
AB361	7	2.0	3.0						
AB389	1	2.0							
AC693	16	1.0	2.0						
AB631	6	2.0	6.0	0.0	1.0	1.0	0.0	0.0	3.0
AB946	1	6.0		0.0	0.0	0.0	0.0	0.0	1.0
AD836	0								
AG086	2	2.0							
AH350	2	2.0							
AA645	2	2.0							
AA807	3	1.0	6.0						
AA646	4	1.0	5.0						
AB640	6	1.0	5.0	1.0	1.0	1.0	0.0	1.0	3.0
AD195	8	3.0	6.0						
AA093	3	6.0	8.0						
AF405	3	4.0	6.0						
AD508	0								
AE167	2	2.0							
AE168	2	2.0							
AE253	4	4.0	6.0						
AG191	5	6.0	6.0						
AG193	5	3.0	6.0						
AB736	6	3.0	6.0						
AA621	8	3.0	5.0						
AF888	7	5.0	5.0						
AB161	13	1.0	4.0	1.0	1.0	1.0	0.0	1.0	3.0
AB978	3	1.0	5.0	1.0	1.0	1.0	0.0	1.0	2.0
