backbone_id	member_count_train	n_countries_train	spread_label	backbone_purity_score	genus_purity_train	family_purity_train	mobility_purity_train	replicon_purity_train	mean_n_replicon_types_train	multi_replicon_fraction_train	primary_replicon_diversity_train	replicon_architecture_norm	assignment_primary_fraction	assignment_confidence_score	mash_neighbor_distance_train_mean
UNSEEN::AF966	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AD911	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AB358	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AE591	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AC116	3	0		0.75	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AC115	1	0		0.75	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AA196	4	0		0.9375	1.0	1.0	1.0	0.75	1.0	0.0	0.25	0.4363702623906705	0.0	0.5	0.0
AB427	1	1	0.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	0.0	0.7842565597667639	0.0	0.5	0.0
UNSEEN::AE056	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AE174	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AE055	1	1	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
AG285	1	0		0.75	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AF706	3	1	1.0	0.8333333333333333	0.3333333333333333	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
UNSEEN::AC179	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AD509	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AE870	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AF112	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AD086	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AD248	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AC450	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AB883	1	0		1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
AD621	1	1	0.0	0.75	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AC348	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AC584	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AF574	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AE843	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AD316	1	0		1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
AB886	1	0		1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
UNSEEN::AA714	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AD436	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AC974	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AG873	1	1	0.0	0.75	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AD151	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AC505	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AD198	3	0		1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
AF333	1	0		1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
UNSEEN::AH070	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AF693	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
