pathogen_dataset	backbone_id	priority_group	priority_index	selection_score	selection_score_column	dominant_species	dominant_genus	top_amr_genes	top_amr_classes	pd_species_record_count	pd_matching_record_count	pd_matching_fraction	pd_matching_gene_count	pd_matched_genes	pd_top_locations	pd_any_support
environmental	AC120	high	0.8631526573842555	0.9819545647428768	primary_model_oof_prediction	Salmonella_enterica	Salmonella	sul2,aph(3'')-Ib,APH(3'')-Ib,aph(6)-Id,tet(A)	AMINOGLYCOSIDE,AMINOGLYCOSIDE ANTIBIOTIC,SULFONAMIDE,TETRACYCLINE,BETA-LACTAM	49449	12069	0.2440696475156221	4	aph(3'')-Ib,aph(6)-Id,sul2,tet(A)	USA:1421,Chile:644,Mexico:559	True
environmental	AA859	high	0.8651533191049543	0.9941735532350358	primary_model_oof_prediction	Salmonella_enterica	Salmonella	sul2,tet(A),ybtQ,ybtP,blaCMY-2	SULFONAMIDE,TETRACYCLINE,BETA-LACTAM,AMINOGLYCOSIDE,AMINOGLYCOSIDE ANTIBIOTIC	49449	10373	0.2097716839572084	3	blaCMY-2,sul2,tet(A)	USA:1290,Chile:636,Mexico:548	True
environmental	AA977	high	0.5525195532314359	0.986395661596346	primary_model_oof_prediction	Escherichia_coli	Escherichia	blaOXA-48,blaCTX-M-55,aph(3')-Ia	BETA-LACTAM,AMINOGLYCOSIDE	86981	9568	0.1100010347087294	3	aph(3')-Ia,blaCTX-M-55,blaOXA-48	USA:854,USA:PA:488,Ecuador: Quito:366	True
environmental	AB460	high	0.6716977964122535	0.994792223015744	primary_model_oof_prediction	Salmonella_enterica	Salmonella	spvD,sul1,blaTEM-1,qacEdelta1,aph(3')-Ia	AMINOGLYCOSIDE,AMINOGLYCOSIDE ANTIBIOTIC,SULFONAMIDE,BETA-LACTAM,QUATERNARY AMMONIUM	49449	8268	0.1672025723472668	3	aph(3')-Ia,blaTEM-1,sul1	USA:859,Chile:647,Mexico:442	True
environmental	AA622	high	0.9093070266160762	0.998610507516493	primary_model_oof_prediction	Salmonella_enterica	Salmonella	qacEdelta1,sul1,blaTEM-1,merT,merE	AMINOGLYCOSIDE,SULFONAMIDE,QUATERNARY AMMONIUM,BETA-LACTAM,AMINOGLYCOSIDE ANTIBIOTIC	49449	7668	0.1550688588242431	2	blaTEM-1,sul1	USA:795,Chile:642,Mexico:442	True
environmental	AA372	high	0.794460949491986	0.9938332940618744	primary_model_oof_prediction	Escherichia_coli	Escherichia	mcr-1.1,blaCTX-M-55,blaCMY-2,blaCTX-M-64,mcr-1.5	COLISTIN,BETA-LACTAM,AMINOGLYCOSIDE,AMINOGLYCOSIDE ANTIBIOTIC,MACROLIDE	86981	7301	0.0839378714891758	5	blaCMY-2,blaCTX-M-55,blaCTX-M-64,mcr-1.1,mcr-1.5	USA:644,Ecuador: Quito:388,Canada:British Columbia:338	True
environmental	AA038	high	0.8338093802484255	0.9900157642454508	primary_model_oof_prediction	Escherichia_coli	Klebsiella	ble,blaNDM-5,blaSHV-12,blaNDM-1,qnrS1	BETA-LACTAM,BLEOMYCIN,QUINOLONE,GLYCOPEPTIDE ANTIBIOTIC,AMINOGLYCOSIDE	86981	6288	0.0722916499005529	5	blaNDM-1,blaNDM-5,blaSHV-12,ble,qnrS1	China:Sichuan:291,USA:PA:192,USA:159	True
environmental	AA162	high	0.6546946526374401	0.9828064824995312	primary_model_oof_prediction	Salmonella_enterica	Salmonella	aph(3')-Ia,blaTEM-1,APH(3')-Ia	AMINOGLYCOSIDE,BETA-LACTAM,AMINOGLYCOSIDE ANTIBIOTIC	49449	5323	0.1076462618050921	2	aph(3')-Ia,blaTEM-1	USA:605,Chile:351,China:250	True
environmental	AB951	high	0.5333384092858041	0.9717770250045944	primary_model_oof_prediction	Escherichia_coli	Escherichia	blaTEM-116,blaTEM,TEM-116,TEM-157,cfrA	BETA-LACTAM,MONOBACTAM; CEPHALOSPORIN; PENAM; PENEM,PHENICOL,LINCOSAMIDE ANTIBIOTIC; STREPTOGRAMIN ANTIBIOTIC; STREPTOGRAMIN A ANTIBIOTIC; OXAZOLIDINONE ANTIBIOTIC; PHENICOL ANTIBIOTIC; PLEUROMUTILIN ANTIBIOTIC,BLEOMYCIN	86981	2980	0.0342603557098676	2	blaTEM,blaTEM-116	Ecuador: Quito:331,USA:161,China: Sichuan:93	True
environmental	AB709	high	0.4876125200535288	0.9162892861980292	primary_model_oof_prediction	Escherichia_coli	Escherichia	TEM-1,blaTEM	BETA-LACTAM,MONOBACTAM; CEPHALOSPORIN; PENAM; PENEM	86981	2952	0.0339384463273588	1	blaTEM	Ecuador: Quito:331,USA:161,China: Sichuan:93	True
environmental	AA579	high	0.6371024256037162	0.9845112255043692	primary_model_oof_prediction	Escherichia_coli	Escherichia	CTX-M-226,CTX-M-23,blaCTX-M-3,blaCTX-M-15	BETA-LACTAM,CEPHALOSPORIN	86981	2735	0.0314436486129154	2	blaCTX-M-15,blaCTX-M-3	USA:PA:164,Czech Republic:152,Uganda:135	True
environmental	AB110	high	0.719158191859878	0.9771042926730532	primary_model_oof_prediction	Staphylococcus_aureus	Staphylococcus	AAC(6')-Ie-APH(2'')-Ia bifunctional protein,aac(6')-Ie/aph(2'')-Ia,PC1 beta-lactamase (blaZ),Staphylococcus aureus mupA conferring resistance to mupirocin,blaI	AMINOGLYCOSIDE,AMINOGLYCOSIDE ANTIBIOTIC,BETA-LACTAM,CADMIUM/LEAD/ZINC,DIAMINOPYRIMIDINE ANTIBIOTIC	3472	2385	0.6869239631336406	2	aac(6')-Ie/aph(2'')-Ia,blaI	China:567,Germany:215,China:Suzhou:177	True
environmental	AA411	high	0.8191398324412861	0.9815619756036243	primary_model_oof_prediction	Staphylococcus_aureus	Staphylococcus	PC1 beta-lactamase (blaZ),blaI,blaZ,cadD,blaR1	BETA-LACTAM,PENAM,CADMIUM,AMINOGLYCOSIDE,AMINOGLYCOSIDE ANTIBIOTIC	3472	2380	0.6854838709677419	3	blaI,blaR1,blaZ	China:565,Germany:215,China:Suzhou:177	True
environmental	AA840	high	0.7837914350116137	0.9692865283588612	primary_model_oof_prediction	Staphylococcus_aureus	Staphylococcus	PC1 beta-lactamase (blaZ),blaI,cadD,blaR1,blaZ	BETA-LACTAM,CADMIUM,PENAM,MACROLIDE ANTIBIOTIC,MACROLIDE ANTIBIOTIC; STREPTOGRAMIN ANTIBIOTIC; STREPTOGRAMIN B ANTIBIOTIC	3472	2380	0.6854838709677419	3	blaI,blaR1,blaZ	China:565,Germany:215,China:Suzhou:177	True
environmental	AA851	high	0.7310652852276435	0.964525507066585	primary_model_oof_prediction	Staphylococcus_aureus	Staphylococcus	cadD,blaI,PC1 beta-lactamase (blaZ),blaR1,blaZ	CADMIUM,BETA-LACTAM,PENAM,AMINOGLYCOSIDE,AMINOGLYCOSIDE ANTIBIOTIC	3472	2380	0.6854838709677419	3	blaI,blaR1,blaZ	China:565,Germany:215,China:Suzhou:177	True
environmental	AA842	high	0.722220656952279	0.919184220099479	primary_model_oof_prediction	Staphylococcus_aureus	Staphylococcus	cadD,blaI,blaR1,PC1 beta-lactamase (blaZ),blaZ	CADMIUM,BETA-LACTAM,PENAM,QUATERNARY AMMONIUM,AMINOGLYCOSIDE	3472	2380	0.6854838709677419	3	blaI,blaR1,blaZ	China:565,Germany:215,China:Suzhou:177	True
environmental	AA409	high	0.9033207261380892	0.9603207068412328	primary_model_oof_prediction	Staphylococcus_aureus	Staphylococcus	PC1 beta-lactamase (blaZ),cadD,blaI,arsC,arsB	PENAM,CADMIUM,BETA-LACTAM,ARSENIC,AMINOGLYCOSIDE	3472	2368	0.6820276497695853	1	blaI	China:565,Germany:215,China:Suzhou:177	True
environmental	AA837	high	0.6119822350179046	0.9508295417781708	primary_model_oof_prediction	Staphylococcus_aureus	Staphylococcus	cadD,etb,PC1 beta-lactamase (blaZ),blaI,blaPC1	CADMIUM,BETA-LACTAM,PENAM,AMINOGLYCOSIDE,AMINOGLYCOSIDE ANTIBIOTIC	3472	2368	0.6820276497695853	2	blaI,blaPC1	China:565,Germany:215,China:Suzhou:177	True
