backbone_id	n_new_countries_recomputed	time_to_first_new_country_years	time_to_third_new_country_years	spread_severity_bin	weighted_new_country_burden	rarity_weighted_new_country_burden	exposure_years	new_country_rate_per_year	weighted_new_country_rate_per_year	rarity_weighted_new_country_rate_per_year	first_event_speed_score	third_event_speed_score	fast_or_broad_expansion_label
AD036	6	2.0	5.0		0.7003479826630641	5.507832746148438	8	0.75	0.087543497832883	0.6884790932685547	0.3333333333333333	0.1666666666666666	
AD037	0				0.0	0.0	8	0.0	0.0	0.0	0.0	0.0	
AD038	3	1.0	4.0		0.2353879063597131	2.6952203216052384	8	0.375	0.0294234882949641	0.3369025402006548	0.5	0.2	
AD039	0				0.0	0.0	8	0.0	0.0	0.0	0.0	0.0	
AD040	1	6.0			0.0430331482911935	0.9347747312477352	8	0.125	0.0053791435363991	0.1168468414059669	0.1428571428571428	0.0	
AD041	1	2.0			0.2182178902359924	0.9900237529691212	8	0.125	0.027277236279499	0.1237529691211401	0.3333333333333333	0.0	
AD042	0				0.0	0.0	8	0.0	0.0	0.0	0.0	0.0	
AD043	1	4.0			0.196116135138184	0.993075898801598	8	0.125	0.024514516892273	0.1241344873501997	0.2	0.0	
AD044	2	2.0			0.232627663623445	1.7818978856719023	8	0.25	0.0290784579529306	0.2227372357089878	0.3333333333333333	0.0	
AD045	1	8.0			0.0192165610506021	0.7430740037950665	8	0.125	0.0024020701313252	0.0928842504743833	0.1111111111111111	0.0	
AD046	1	5.0		1.0	0.0273587827582291	0.856297730450683	8	0.125	0.0034198478447786	0.1070372163063353	0.1666666666666666	0.0	
AD047	1	3.0			0.0390137157320435	0.7580110497237569	8	0.125	0.0048767144665054	0.0947513812154696	0.25	0.0	
AD048	1	3.0			0.0390137157320435	0.7580110497237569	8	0.125	0.0048767144665054	0.0947513812154696	0.25	0.0	
AD054	4	5.0	6.0		0.5671331131800788	3.6226718955636463	8	0.5	0.0708916391475098	0.4528339869454558	0.1666666666666666	0.1428571428571428	
AD055	10	3.0	5.0		0.6008654869624178	9.322617485611676	8	1.25	0.0751081858703022	1.1653271857014595	0.25	0.1666666666666666	
