permutation_index	selection_scope	n_models_in_scope	selected_model_name	selected_null_roc_auc	selected_null_average_precision
146	official_model_surface	3	phylo_support_fusion_priority	0.5063597592675813	0.3744558277141737
147	official_model_surface	3	phylo_support_fusion_priority	0.5096134359001472	0.35800054295390726
148	official_model_surface	3	phylo_support_fusion_priority	0.5120366209345564	0.36762984857745806
149	official_model_surface	3	phylo_support_fusion_priority	0.5134244450906271	0.3934688783145031
150	official_model_surface	3	bio_clean_priority	0.5061526870919136	0.36830541283585483
151	official_model_surface	3	phylo_support_fusion_priority	0.48003295531646795	0.36116397663657146
152	official_model_surface	3	phylo_support_fusion_priority	0.5252539938495158	0.38026044679183446
153	official_model_surface	3	baseline_both	0.4927128217328857	0.37073126597970374
154	official_model_surface	3	phylo_support_fusion_priority	0.5396080608351618	0.38021170385990777
155	official_model_surface	3	bio_clean_priority	0.515838818543093	0.3795904392318024
156	official_model_surface	3	bio_clean_priority	0.5351053424621323	0.3918683191349351
157	official_model_surface	3	phylo_support_fusion_priority	0.5053904852538176	0.3723509380091735
158	official_model_surface	3	bio_clean_priority	0.5313383911813688	0.38780825866844404
159	official_model_surface	3	bio_clean_priority	0.487018336902024	0.3592077383497268
160	official_model_surface	3	baseline_both	0.47420189096548504	0.3447718146795686
161	official_model_surface	3	baseline_both	0.5002070721756677	0.37842564366813725
162	official_model_surface	3	phylo_support_fusion_priority	0.5181342356393244	0.36983517043505815
163	official_model_surface	3	bio_clean_priority	0.5024496197802392	0.3683403787934529
164	official_model_surface	3	phylo_support_fusion_priority	0.5086089155586102	0.3814154062771574
165	official_model_surface	3	bio_clean_priority	0.5248640813485245	0.3746949221966323
166	official_model_surface	3	baseline_both	0.48332187827680706	0.3580305082872867
167	official_model_surface	3	bio_clean_priority	0.5278842510595927	0.38499832173895665
168	official_model_surface	3	phylo_support_fusion_priority	0.5074986562337537	0.3774029948248679
169	official_model_surface	3	phylo_support_fusion_priority	0.4951756588860398	0.3637870911782389
170	official_model_surface	3	phylo_support_fusion_priority	0.5083798144280842	0.3735500790189491
171	official_model_surface	3	phylo_support_fusion_priority	0.526192427326478	0.40190535539502653
172	official_model_surface	3	phylo_support_fusion_priority	0.5330610554512851	0.40249354650448255
173	official_model_surface	3	baseline_both	0.5005176804391692	0.3552538884363166
174	official_model_surface	3	baseline_both	0.5139134878884806	0.3751567960171109
175	official_model_surface	3	baseline_both	0.5424431873254205	0.41705191345928044
176	official_model_surface	3	bio_clean_priority	0.5321446509291813	0.38837513626717274
177	official_model_surface	3	bio_clean_priority	0.49333183536440295	0.36009296401871166
178	official_model_surface	3	bio_clean_priority	0.5030245755020398	0.36125806077458505
179	official_model_surface	3	bio_clean_priority	0.5055733255791413	0.3608864134941633
180	official_model_surface	3	bio_clean_priority	0.491895547507644	0.3498692257827235
181	official_model_surface	3	bio_clean_priority	0.5146624723536617	0.3746463643471544
182	official_model_surface	3	bio_clean_priority	0.5111334337853675	0.37584226928619424
183	official_model_surface	3	phylo_support_fusion_priority	0.5510058420788284	0.4124721109009654
184	official_model_surface	3	bio_clean_priority	0.5029232423096919	0.37100591248189463
185	official_model_surface	3	phylo_support_fusion_priority	0.5192665239190392	0.36781975992250004
186	official_model_surface	3	bio_clean_priority	0.49848220501026547	0.3649445325526015
187	official_model_surface	3	phylo_support_fusion_priority	0.4874919594314767	0.3633468574524892
188	official_model_surface	3	phylo_support_fusion_priority	0.48947456536872064	0.3527563751551941
189	official_model_surface	3	baseline_both	0.5121709975591918	0.3676520266462595
190	official_model_surface	3	phylo_support_fusion_priority	0.4919506198947897	0.35557453412187934
191	official_model_surface	3	phylo_support_fusion_priority	0.51519116727026	0.3766621925692649
192	official_model_surface	3	phylo_support_fusion_priority	0.5338232572893812	0.4028046966692254
193	official_model_surface	3	bio_clean_priority	0.5153321525813529	0.36867169463705035
194	official_model_surface	3	baseline_both	0.4982575096707112	0.3655225873608885
195	official_model_surface	3	bio_clean_priority	0.5210112171438138	0.369764770885569
196	official_model_surface	3	phylo_support_fusion_priority	0.5365240071550046	0.4139716587993173
197	official_model_surface	3	phylo_support_fusion_priority	0.511838360340832	0.3724139844331756
198	official_model_surface	3	baseline_both	0.4835179359750456	0.37143281303859127
199	official_model_surface	3	baseline_both	0.4892718989840246	0.3509719312330092
200	official_model_surface	3	bio_clean_priority	0.5301620449919374	0.38580619853746184
