pathogen_dataset	backbone_id	priority_group	priority_index	selection_score	selection_score_column	dominant_species	dominant_genus	top_amr_genes	top_amr_classes	pd_species_record_count	pd_matching_record_count	pd_matching_fraction	pd_matching_gene_count	pd_matched_genes	pd_top_locations	pd_any_support
combined	AA977	high	0.5525195532314359	0.986395661596346	primary_model_oof_prediction	Escherichia_coli	Escherichia	blaOXA-48,blaCTX-M-55,aph(3')-Ia	BETA-LACTAM,AMINOGLYCOSIDE	259754	23334	0.0898311479322743	3	aph(3')-Ia,blaCTX-M-55,blaOXA-48	USA:1930,France:821,China:795	True
combined	AA859	high	0.8651533191049543	0.9941735532350358	primary_model_oof_prediction	Salmonella_enterica	Salmonella	sul2,tet(A),ybtQ,ybtP,blaCMY-2	SULFONAMIDE,TETRACYCLINE,BETA-LACTAM,AMINOGLYCOSIDE,AMINOGLYCOSIDE ANTIBIOTIC	124175	22173	0.1785625125830481	3	blaCMY-2,sul2,tet(A)	USA:4107,China:2198,Chile:637	True
combined	AB756	high	0.8495288808271922	0.9891355437246336	primary_model_oof_prediction	Enterococcus_faecium	Enterococcus	tet(L),tet(M),poxtA,tet(45),fexB	TETRACYCLINE,PHENICOL/OXAZOLIDINONE,TETRACYCLINE ANTIBIOTIC,PHENICOL,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	31261	20589	0.6586161671091776	4	fexB,poxtA,tet(L),tet(M)	Australia:2617,Denmark:Copenhagen:1761,USA: Pittsburgh, Pennsylvania:1711	True
combined	AB460	high	0.6716977964122535	0.994792223015744	primary_model_oof_prediction	Salmonella_enterica	Salmonella	spvD,sul1,blaTEM-1,qacEdelta1,aph(3')-Ia	AMINOGLYCOSIDE,AMINOGLYCOSIDE ANTIBIOTIC,SULFONAMIDE,BETA-LACTAM,QUATERNARY AMMONIUM	124175	19365	0.1559492651499899	3	aph(3')-Ia,blaTEM-1,sul1	USA:3320,China:2105,Portugal:733	True
combined	AB172	high	0.717651407126452	0.8867587524821708	primary_model_oof_prediction	Enterococcus_faecium	Enterococcus	vanA,vanH gene in vanA cluster,vanR gene in vanA cluster,vanS gene in vanA cluster,vanX gene in vanA cluster	GLYCOPEPTIDE,GLYCOPEPTIDE ANTIBIOTIC,MACROLIDE ANTIBIOTIC; LINCOSAMIDE ANTIBIOTIC; STREPTOGRAMIN ANTIBIOTIC; STREPTOGRAMIN A ANTIBIOTIC; STREPTOGRAMIN B ANTIBIOTIC,AMINOGLYCOSIDE ANTIBIOTIC,AMINOGLYCOSIDE	31261	19352	0.6190460957742875	1	vanA	USA: Ann Arbor, Michigan:2509,Denmark:Copenhagen:1947,USA: Pittsburgh, Pennsylvania:1792	True
combined	AC431	high	0.5181280656614126	0.9865719332328656	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	merE,merT,arsD,arsR,qnrB1	MERCURY,BETA-LACTAM,ARSENIC,QUINOLONE,AMINOGLYCOSIDE	113468	18637	0.1642489512461663	1	qnrB1	USA:2162,Spain:891,United Kingdom:527	True
combined	AC129	high	0.8555266473765952	0.9343166612703616	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	blaOXA-232,blaOXA-181,OXA-232,OXA-833,blaOXA	BETA-LACTAM,CARBAPENEM; PENAM,MACROLIDE ANTIBIOTIC	113468	18537	0.1633676455035781	3	blaOXA,blaOXA-181,blaOXA-232	USA:2134,Italy:927,South Africa:694	True
combined	AA372	high	0.794460949491986	0.9938332940618744	primary_model_oof_prediction	Escherichia_coli	Escherichia	mcr-1.1,blaCTX-M-55,blaCMY-2,blaCTX-M-64,mcr-1.5	COLISTIN,BETA-LACTAM,AMINOGLYCOSIDE,AMINOGLYCOSIDE ANTIBIOTIC,MACROLIDE	259754	18290	0.0704127751641938	5	blaCMY-2,blaCTX-M-55,blaCTX-M-64,mcr-1.1,mcr-1.5	USA:1431,China:952,Ecuador: Quito:638	True
combined	AA622	high	0.9093070266160762	0.998610507516493	primary_model_oof_prediction	Salmonella_enterica	Salmonella	qacEdelta1,sul1,blaTEM-1,merT,merE	AMINOGLYCOSIDE,SULFONAMIDE,QUATERNARY AMMONIUM,BETA-LACTAM,AMINOGLYCOSIDE ANTIBIOTIC	124175	18261	0.1470585866720354	2	blaTEM-1,sul1	USA:3099,China:1990,Portugal:730	True
combined	AC670	high	0.8908614037372028	0.9443185302024713	primary_model_oof_prediction	Staphylococcus_aureus	Staphylococcus	tet(L),tet(45),ANT(4')-Ia,aadD1,bleO	TETRACYCLINE,TETRACYCLINE ANTIBIOTIC,AMINOGLYCOSIDE ANTIBIOTIC,AMINOGLYCOSIDE,BLEOMYCIN	100884	14133	0.1400915903413822	3	aadD1,bleO,tet(L)	USA:1042,USA: Pennsylvania:846,Netherlands:745	True
