backbone_id	n_training_records	complete_fraction	duplicate_fraction	change_flag_fraction	duplicate_completeness_score
AA367	4	0.0	0.0	1.0	0.3
AA383	4	0.0	0.0	1.0	0.3
AA400	4	0.0	0.0	1.0	0.3
AA409	4	0.0	0.0	1.0	0.3
AA457	4	0.0	0.0	1.0	0.3
AA513	4	0.0	0.0	1.0	0.3
AA525	4	0.0	0.0	1.0	0.3
AA576	4	0.0	0.0	1.0	0.3
AA609	4	0.0	0.0	1.0	0.3
AA622	4	0.0	0.0	1.0	0.3
AA650	4	0.0	0.0	1.0	0.3
AA664	4	0.0	0.0	1.0	0.3
AA671	4	0.0	0.0	1.0	0.3
AA705	4	0.0	0.0	1.0	0.3
AA770	4	0.0	0.0	1.0	0.3
AA865	4	0.0	0.0	1.0	0.3
AB045	4	0.0	0.0	1.0	0.3
AB114	4	0.0	0.0	1.0	0.3
AB136	4	0.0	0.0	1.0	0.3
AB152	4	0.0	0.0	1.0	0.3
AB421	4	0.0	0.0	1.0	0.3
AB443	4	0.0	0.0	1.0	0.3
AB446	4	0.0	0.0	1.0	0.3
AB528	4	0.0	0.0	1.0	0.3
AB538	4	0.0	0.0	1.0	0.3
AB628	4	0.0	0.0	1.0	0.3
AB755	4	0.0	0.0	1.0	0.3
AB783	4	0.0	0.0	1.0	0.3
AB788	4	0.0	0.0	1.0	0.3
AB881	4	0.0	0.0	1.0	0.3
AB947	4	0.0	0.0	1.0	0.3
AC167	4	0.0	0.0	1.0	0.3
AC237	4	0.0	0.0	1.0	0.3
AC407	4	0.0	0.0	1.0	0.3
AC431	4	0.0	0.0	1.0	0.3
AC511	4	0.0	0.0	1.0	0.3
AC516	4	0.0	0.0	1.0	0.3
AC542	4	0.0	0.0	1.0	0.3
AC670	4	0.0	0.0	1.0	0.3
AC914	4	0.0	0.0	1.0	0.3
AD055	4	0.0	0.0	1.0	0.3
AD058	4	0.0	0.0	1.0	0.3
AD570	4	0.0	0.0	1.0	0.3
AD572	4	0.0	0.0	1.0	0.3
AD768	4	0.0	0.0	1.0	0.3
AD785	4	0.0	0.0	1.0	0.3
AE283	4	0.0	0.0	1.0	0.3
AF250	4	0.0	0.0	1.0	0.3
AF479	4	0.0	0.0	1.0	0.3
AG189	4	0.0	0.0	1.0	0.3
AG728	4	0.0	0.0	1.0	0.3
AA003	3	0.0	0.0	1.0	0.3
AA010	3	0.0	0.0	1.0	0.3
