backbone_id	n_countries_train	training_country_missing_fraction	testing_country_missing_fraction	observed_new_countries	optimistic_new_countries	midpoint_new_countries	weighted_new_countries	eligible_for_country_bounds	label_observed	label_midpoint	label_optimistic	label_weighted
AD387	0	0.0	0.0	2	2	2	2.0	False				
AF474	0	1.0	0.3333333333333333	3	5	4	4.5	False				
AB920	0	0.0	0.5	3	14	9	6.0	False				
AB530	0	1.0	0.47540983606557374	6	35	21	11.4375	False				
AB685	3	0.7857142857142857	0.026143790849673203	28	36	32	28.75167785234899	True	1.0	1.0	1.0	1.0
AA670	0	0.0	0.2608695652173913	12	18	15	16.235294117647058	False				
AD480	0	1.0	0.16666666666666666	12	18	15	14.399999999999999	False				
AA153	0	1.0	0.34615384615384615	7	16	12	10.705882352941176	False				
AA887	0	1.0	0.15625	23	38	31	27.25925925925926	False				
AA190	0	1.0	0.14285714285714285	11	16	14	12.833333333333334	False				
AB272	2	0.8461538461538461	0.35454545454545455	18	57	38	27.887323943661976	True	1.0	1.0	1.0	1.0
AH133	0	1.0	0.0	0	0	0	0.0	False				
AE720	0	1.0	0.0	1	1	1	1.0	False				
AE100	0	0.0	0.0	0	0	0	0.0	False				
AD891	1	0.0	0.0	3	3	3	3.0	True	1.0	1.0	1.0	1.0
AD579	0	1.0	0.05	12	13	13	12.631578947368421	False				
AA337	0	1.0	0.06666666666666667	17	26	22	18.214285714285715	False				
AA579	1	0.875	0.04310344827586207	34	49	42	35.53153153153153	True	1.0	1.0	1.0	1.0
AD451	0	0.0	0.0	8	8	8	8.0	False				
AA321	0	0.0	0.0	5	5	5	5.0	False				
AA476	0	0.0	0.0	4	4	4	4.0	False				
AA176	2	0.8181818181818182	0.11538461538461539	26	56	41	29.391304347826086	True	1.0	1.0	1.0	1.0
AA525	2	0.5	0.0392156862745098	13	15	14	13.53061224489796	True	1.0	1.0	1.0	1.0
AA334	0	1.0	0.2777777777777778	11	21	16	15.23076923076923	False				
AA971	0	0.0	0.0	7	7	7	7.0	False				
